Name,Year,Popularity,Name,Year,Popularity,diff
Chloe,1980,1728,Chloe,2009,37,-1691
Silas,1980,2181,Silas,2009,491,-1690
Aliya,1980,2870,Aliya,2009,1185,-1685
Isis,1980,2805,Isis,2009,1134,-1671
Carlie,1980,2982,Carlie,2009,1311,-1671
Jude,1980,1996,Jude,2009,328,-1668
Aliza,1980,3155,Aliza,2009,1502,-1653
Blayne,1980,4349,Blayne,2009,2696,-1653
Riley,1980,1707,Riley,2009,57,-1650
Stefany,1980,4678,Stefany,2009,3028,-1650
Brenden,1980,2358,Brenden,2009,710,-1648
Ezekiel,1980,2074,Ezekiel,2009,427,-1647
Kenna,1980,2978,Kenna,2009,1342,-1636
Isiah,1980,2791,Isiah,2009,1156,-1635
Holland,1980,4560,Holland,2009,2926,-1634
Skye,1980,2546,Skye,2009,914,-1632
Eliot,1980,4053,Eliot,2009,2431,-1622
Layla,1980,1749,Layla,2009,130,-1619
Kai,1980,1984,Kai,2009,366,-1618
Linus,1980,5107,Linus,2009,3489,-1618
Ansley,1980,2831,Ansley,2009,1222,-1609
Marin,1980,3376,Marin,2009,1769,-1607
Dax,1980,3254,Dax,2009,1651,-1603
Essence,1980,3385,Essence,2009,1783,-1602
Violet,1980,1913,Violet,2009,314,-1599
Romeo,1980,2452,Romeo,2009,855,-1597
Ramses,1980,4316,Ramses,2009,2723,-1593
Carson,1980,1723,Carson,2009,134,-1589
Emilee,1980,2424,Emilee,2009,836,-1588
America,1980,2633,America,2009,1046,-1587
Yaritza,1980,3055,Yaritza,2009,1472,-1583
Chase,1980,1653,Chase,2009,86,-1567
Scarlett,1980,1934,Scarlett,2009,370,-1564
Dashawn,1980,3421,Dashawn,2009,1867,-1554
Paloma,1980,2890,Paloma,2009,1338,-1552
Abdullah,1980,3277,Abdullah,2009,1725,-1552
Bryson,1980,1827,Bryson,2009,277,-1550
Kali,1980,2494,Kali,2009,944,-1550
Trinity,1980,1719,Trinity,2009,177,-1542
Malky,1980,4838,Malky,2009,3296,-1542
Shimon,1980,3598,Shimon,2009,2064,-1534
Tyshawn,1980,3628,Tyshawn,2009,2095,-1533
Coleman,1980,3210,Coleman,2009,1680,-1530
Bennett,1980,2140,Bennett,2009,613,-1527
Elly,1980,4606,Elly,2009,3080,-1526
Brisa,1980,2600,Brisa,2009,1075,-1525
Kyra,1980,2070,Kyra,2009,548,-1522
Yehudis,1980,4858,Yehudis,2009,3336,-1522
Emmett,1980,2195,Emmett,2009,674,-1521
Carley,1980,2806,Carley,2009,1285,-1521
Ariella,1980,3105,Ariella,2009,1589,-1516
Carli,1980,3922,Carli,2009,2408,-1514
Musa,1980,4415,Musa,2009,2906,-1509
Channing,1980,3621,Channing,2009,2113,-1508
Avraham,1980,3820,Avraham,2009,2313,-1507
Mikhail,1980,4728,Mikhail,2009,3228,-1500
Brennon,1980,3873,Brennon,2009,2375,-1498
Kenan,1980,5062,Kenan,2009,3569,-1493
Estrella,1980,2294,Estrella,2009,806,-1488
Katelyn,1980,1684,Katelyn,2009,206,-1478
Braden,1980,1816,Braden,2009,344,-1472
Cullen,1980,2503,Cullen,2009,1032,-1471
Arlette,1980,4488,Arlette,2009,3019,-1469
Menachem,1980,3473,Menachem,2009,2011,-1462
Melany,1980,2280,Melany,2009,819,-1461
Maximillian,1980,3698,Maximillian,2009,2238,-1460
Moriah,1980,2872,Moriah,2009,1417,-1455
Emerald,1980,4019,Emerald,2009,2567,-1452
Mohamed,1980,2359,Mohamed,2009,908,-1451
Dahlia,1980,2709,Dahlia,2009,1259,-1450
Dallin,1980,4188,Dallin,2009,2740,-1448
Nevin,1980,4431,Nevin,2009,2987,-1444
Marek,1980,4285,Marek,2009,2844,-1441
Yazmin,1980,2810,Yazmin,2009,1371,-1439
Eliyahu,1980,4168,Eliyahu,2009,2730,-1438
